
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################

	### Tier 3 Agent 	#    -8.13 	###

	### NikhilxCamilo 	#   -82.31 	###

	### TA - Tier 1 Agent 	#  -687.35 	###

	### orange       	# -1451.84 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4822.98 	###

	### RandomBot67  	#  4796.99 	###

	### 67           	#  2659.57 	###

	### TA - Tier 1 Agent 	#  2052.26 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1769.71 	###

	###              	#   931.31 	###

	### sudo         	#   768.06 	###

	### 67 Random Search v2 	#   665.15 	###

	### orange       	#   635.68 	###

	### qwer         	#   603.59 	###

	### jet2holiday  	#   578.35 	###

	### NikhilxCamilo 	#    -2.87 	###

	### Tier 3 Agent 	#    -4.95 	###

	### GigaBot      	#  -351.99 	###

	### brawl_stars  	#  -580.78 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  4239.56 	###

	### jet2holiday  	#  4059.42 	###

	### HTandRX's Agent 	#  3745.61 	###

	### RandomBot67  	#  2073.22 	###

	### 67           	#  1737.24 	###

	###              	#  1711.43 	###

	### GigaBot      	#  1488.64 	###

	### qwer         	#  1355.71 	###

	### sudo         	#  1006.60 	###

	### orange       	#   900.13 	###

	### TA - Dust II B Anchor (Tier 2) 	#   734.36 	###

	### brawl_stars  	#   218.65 	###

	### NikhilxCamilo 	#    18.20 	###

	### Tier 3 Agent 	#    -1.30 	###

	### TA - Tier 1 Agent 	#  -517.37 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  5212.35 	###

	### HTandRX's Agent 	#  2613.44 	###

	### 67 Random Search v2 	#  2574.82 	###

	### NikhilxCamilo 	#  2550.52 	###

	### jet2holiday  	#  2267.59 	###

	### GigaBot      	#  2048.66 	###

	### 67           	#  1436.23 	###

	###              	#  1361.91 	###

	### RandomBot67  	#  1322.54 	###

	### Tier 3 Agent 	#  1174.37 	###

	### qwer         	#   704.34 	###

	### TA - Dust II B Anchor (Tier 2) 	#   614.39 	###

	### brawl_stars  	#  -751.14 	###

	### orange       	# -1125.63 	###

	### TA - Tier 1 Agent 	# -2702.27 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3636.14 	###

	### brawl_stars  	#  3316.01 	###

	### 67           	#  2813.64 	###

	### GigaBot      	#  2560.56 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2435.62 	###

	### RandomBot67  	#  2341.75 	###

	### qwer         	#  1955.63 	###

	### sudo         	#  1577.34 	###

	### NikhilxCamilo 	#  1272.34 	###

	### jet2holiday  	#  1117.68 	###

	### TA - Tier 1 Agent 	#   950.85 	###

	### 67 Random Search v2 	#   828.71 	###

	### HTandRX's Agent 	#   765.54 	###

	### Tier 3 Agent 	#    -3.86 	###

	### orange       	# -1619.67 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### orange       	#  4692.36 	###

	### 67           	#  2626.15 	###

	### sudo         	#  2544.12 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2157.47 	###

	###              	#  2013.41 	###

	### brawl_stars  	#  1741.02 	###

	### 67 Random Search v2 	#  1634.87 	###

	### TA - Tier 1 Agent 	#  1495.26 	###

	### HTandRX's Agent 	#  1298.89 	###

	### RandomBot67  	#   686.11 	###

	### jet2holiday  	#   599.51 	###

	### NikhilxCamilo 	#    49.41 	###

	### GigaBot      	#    35.64 	###

	### Tier 3 Agent 	#    -3.80 	###

	### qwer         	# -1897.84 	###

	###########################################

	@@@ WINNER: orange @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  3322.12 	###

	### 67           	#  2888.24 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2738.78 	###

	### qwer         	#  2681.91 	###

	### jet2holiday  	#  2604.13 	###

	### sudo         	#  2115.72 	###

	###              	#  1984.03 	###

	### brawl_stars  	#  1086.64 	###

	### 67 Random Search v2 	#   630.08 	###

	### HTandRX's Agent 	#   436.79 	###

	### GigaBot      	#   287.96 	###

	### orange       	#    49.46 	###

	### Tier 3 Agent 	#   -17.42 	###

	### NikhilxCamilo 	#   -25.95 	###

	### TA - Tier 1 Agent 	# -2623.49 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@
Error getting ad bids from agent NikhilxCamilo: 

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### orange       	#  4189.10 	###

	###              	#  3347.74 	###

	### jet2holiday  	#  2926.92 	###

	### HTandRX's Agent 	#  2246.89 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2155.38 	###

	### qwer         	#  2009.84 	###

	### NikhilxCamilo 	#  1848.71 	###

	### 67           	#  1813.60 	###

	### GigaBot      	#  1715.15 	###

	### brawl_stars  	#  1646.19 	###

	### sudo         	#  1589.56 	###

	### 67 Random Search v2 	#  1083.10 	###

	### RandomBot67  	#    83.24 	###

	### Tier 3 Agent 	#    -1.71 	###

	### TA - Tier 1 Agent 	#  -743.47 	###

	###########################################

	@@@ WINNER: orange @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  4733.55 	###

	### sudo         	#  4494.71 	###

	### brawl_stars  	#  3544.31 	###

	### jet2holiday  	#  2848.36 	###

	###              	#  2735.80 	###

	### 67           	#  2393.29 	###

	### NikhilxCamilo 	#  1984.73 	###

	### HTandRX's Agent 	#  1512.05 	###

	### orange       	#   992.39 	###

	### TA - Dust II B Anchor (Tier 2) 	#   962.36 	###

	### RandomBot67  	#   690.88 	###

	### 67 Random Search v2 	#   630.42 	###

	### GigaBot      	#   366.45 	###

	### Tier 3 Agent 	#    13.40 	###

	### TA - Tier 1 Agent 	# -1044.67 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4621.72 	###

	### NikhilxCamilo 	#  2932.14 	###

	### brawl_stars  	#  2821.39 	###

	### qwer         	#  2063.87 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1872.51 	###

	### 67           	#  1751.92 	###

	### GigaBot      	#  1503.56 	###

	### HTandRX's Agent 	#  1395.86 	###

	### jet2holiday  	#   925.37 	###

	### sudo         	#   528.13 	###

	### 67 Random Search v2 	#   256.52 	###

	### Tier 3 Agent 	#    -3.20 	###

	### RandomBot67  	#   -34.68 	###

	### orange       	# -1284.69 	###

	### TA - Tier 1 Agent 	# -1800.73 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4889.66 	###

	### sudo         	#  3180.98 	###

	### 67 Random Search v2 	#  2411.81 	###

	### HTandRX's Agent 	#  2160.19 	###

	### brawl_stars  	#  1775.02 	###

	### jet2holiday  	#  1676.33 	###

	### orange       	#  1644.35 	###

	### 67           	#  1606.93 	###

	### RandomBot67  	#  1059.93 	###

	### GigaBot      	#   971.66 	###

	### TA - Dust II B Anchor (Tier 2) 	#   563.83 	###

	### Tier 3 Agent 	#   426.08 	###

	### qwer         	#    76.44 	###

	### NikhilxCamilo 	#  -167.05 	###

	### TA - Tier 1 Agent 	# -1688.50 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4089.90 	###

	### jet2holiday  	#  4003.95 	###

	### NikhilxCamilo 	#  3597.12 	###

	### brawl_stars  	#  2404.66 	###

	### sudo         	#  1861.89 	###

	###              	#  1860.13 	###

	### 67 Random Search v2 	#  1676.81 	###

	### TA - Tier 1 Agent 	#  1525.17 	###

	### RandomBot67  	#  1357.35 	###

	### orange       	#  1256.18 	###

	### GigaBot      	#   826.51 	###

	### TA - Dust II B Anchor (Tier 2) 	#   546.51 	###

	### qwer         	#    34.57 	###

	### 67           	#     0.00 	###

	### Tier 3 Agent 	#    -1.21 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  6053.56 	###

	### TA - Dust II B Anchor (Tier 2) 	#  4441.16 	###

	### qwer         	#  3567.87 	###

	### sudo         	#  3041.97 	###

	### brawl_stars  	#  2535.54 	###

	### 67           	#  2220.85 	###

	### GigaBot      	#  1596.56 	###

	###              	#   375.51 	###

	### 67 Random Search v2 	#   228.42 	###

	### jet2holiday  	#   136.79 	###

	### RandomBot67  	#    50.35 	###

	### Tier 3 Agent 	#    -2.36 	###

	### NikhilxCamilo 	#   -94.48 	###

	### orange       	#  -679.41 	###

	### TA - Tier 1 Agent 	# -1810.68 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3741.42 	###

	### 67           	#  3600.87 	###

	###              	#  3339.56 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2454.70 	###

	### 67 Random Search v2 	#  2332.34 	###

	### RandomBot67  	#  1548.37 	###

	### sudo         	#  1423.88 	###

	### qwer         	#  1200.87 	###

	### GigaBot      	#  1037.04 	###

	### jet2holiday  	#   821.39 	###

	### NikhilxCamilo 	#   741.66 	###

	### brawl_stars  	#   397.01 	###

	### Tier 3 Agent 	#    -4.02 	###

	### orange       	#  -381.91 	###

	### TA - Tier 1 Agent 	#  -761.18 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  5979.23 	###

	### brawl_stars  	#  3855.10 	###

	###              	#  3055.28 	###

	### qwer         	#  2948.21 	###

	### orange       	#  2121.05 	###

	### 67           	#  1969.11 	###

	### GigaBot      	#  1756.70 	###

	### jet2holiday  	#  1628.28 	###

	### HTandRX's Agent 	#  1610.16 	###

	### sudo         	#   674.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   535.94 	###

	### RandomBot67  	#    73.35 	###

	### Tier 3 Agent 	#    -4.56 	###

	### TA - Tier 1 Agent 	#   -56.20 	###

	### NikhilxCamilo 	#  -222.58 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  3453.44 	###

	### 67 Random Search v2 	#  3062.01 	###

	### sudo         	#  2716.51 	###

	### GigaBot      	#  2145.39 	###

	### RandomBot67  	#  1857.72 	###

	### qwer         	#  1857.10 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1820.70 	###

	### NikhilxCamilo 	#  1482.19 	###

	### orange       	#  1181.27 	###

	### HTandRX's Agent 	#  1049.38 	###

	### brawl_stars  	#  1020.79 	###

	###              	#   300.31 	###

	### jet2holiday  	#   140.47 	###

	### Tier 3 Agent 	#    -3.47 	###

	### TA - Tier 1 Agent 	# -1354.06 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Tier 1 Agent 	#  4219.02 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3094.92 	###

	### brawl_stars  	#  2942.39 	###

	### 67           	#  2420.20 	###

	###              	#  2222.52 	###

	### sudo         	#  1262.03 	###

	### qwer         	#  1199.39 	###

	### 67 Random Search v2 	#  1155.00 	###

	### RandomBot67  	#   771.44 	###

	### jet2holiday  	#   578.48 	###

	### HTandRX's Agent 	#   436.56 	###

	### NikhilxCamilo 	#    76.21 	###

	### GigaBot      	#    -2.24 	###

	### Tier 3 Agent 	#    -4.10 	###

	### orange       	# -1263.40 	###

	###########################################

	@@@ WINNER: TA - Tier 1 Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3639.51 	###

	### 67 Random Search v2 	#  3321.92 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2698.54 	###

	### NikhilxCamilo 	#  2152.03 	###

	### RandomBot67  	#  2127.69 	###

	### orange       	#  1956.04 	###

	### 67           	#  1521.81 	###

	###              	#  1404.36 	###

	### qwer         	#  1348.32 	###

	### sudo         	#  1254.00 	###

	### GigaBot      	#  1068.45 	###

	### brawl_stars  	#   463.24 	###

	### HTandRX's Agent 	#    15.72 	###

	### Tier 3 Agent 	#    -4.27 	###

	### TA - Tier 1 Agent 	# -1549.78 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4302.45 	###

	### 67 Random Search v2 	#  3021.74 	###

	### 67           	#  2717.36 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2487.75 	###

	### NikhilxCamilo 	#  1962.52 	###

	### brawl_stars  	#  1818.27 	###

	### qwer         	#  1423.49 	###

	### HTandRX's Agent 	#   949.73 	###

	### orange       	#   817.16 	###

	### sudo         	#   525.80 	###

	### jet2holiday  	#   231.03 	###

	### GigaBot      	#   106.62 	###

	### Tier 3 Agent 	#    -9.87 	###

	### RandomBot67  	#  -140.39 	###

	### TA - Tier 1 Agent 	# -2736.59 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  6490.00 	###

	### NikhilxCamilo 	#  4199.50 	###

	### GigaBot      	#  3221.78 	###

	### sudo         	#  2862.74 	###

	### orange       	#  2704.55 	###

	### jet2holiday  	#  1649.61 	###

	### qwer         	#  1477.54 	###

	### brawl_stars  	#  1294.98 	###

	### 67           	#   977.32 	###

	### 67 Random Search v2 	#   969.16 	###

	###              	#   696.21 	###

	### Tier 3 Agent 	#   184.89 	###

	### HTandRX's Agent 	#    60.19 	###

	### RandomBot67  	#   -19.76 	###

	### TA - Tier 1 Agent 	# -3468.61 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  5392.50 	###

	### RandomBot67  	#  2505.56 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2505.50 	###

	### qwer         	#  1722.38 	###

	### jet2holiday  	#  1508.39 	###

	### NikhilxCamilo 	#  1256.42 	###

	### HTandRX's Agent 	#  1158.11 	###

	### brawl_stars  	#  1035.34 	###

	### GigaBot      	#   694.15 	###

	###              	#   529.44 	###

	### TA - Tier 1 Agent 	#   361.77 	###

	### 67           	#   306.38 	###

	### 67 Random Search v2 	#    45.87 	###

	### Tier 3 Agent 	#    -3.48 	###

	### orange       	#  -655.41 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  3059.13 	###

	### 67           	#  2630.21 	###

	### jet2holiday  	#  2603.97 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2484.98 	###

	### qwer         	#  2426.79 	###

	### NikhilxCamilo 	#  1995.06 	###

	### sudo         	#  1732.73 	###

	### HTandRX's Agent 	#  1069.01 	###

	### GigaBot      	#   988.63 	###

	###              	#   630.23 	###

	### RandomBot67  	#   506.32 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#   -11.53 	###

	### orange       	#   -79.16 	###

	### TA - Tier 1 Agent 	# -2684.16 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  5857.86 	###

	###              	#  3840.83 	###

	### sudo         	#  3339.04 	###

	### orange       	#  2691.44 	###

	### Tier 3 Agent 	#  2604.74 	###

	### NikhilxCamilo 	#  2335.65 	###

	### jet2holiday  	#  2117.58 	###

	### GigaBot      	#  1939.99 	###

	### 67           	#  1209.14 	###

	### TA - Dust II B Anchor (Tier 2) 	#   865.56 	###

	### HTandRX's Agent 	#   824.63 	###

	### 67 Random Search v2 	#   501.11 	###

	### RandomBot67  	#   345.28 	###

	### qwer         	#   304.32 	###

	### TA - Tier 1 Agent 	#  -480.71 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4113.54 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3048.62 	###

	###              	#  2663.86 	###

	### RandomBot67  	#  2042.88 	###

	### HTandRX's Agent 	#  1964.77 	###
